Instance,K_Found,SAT,Time_Seconds
i42,9,SAT,6.4339
i43,8,SAT,3.2653
i49,7,SAT,2.318
i51,7,SAT,2.6838
i56,7,SAT,2.2309
i59,8,SAT,3.3122
i61,7,SAT,2.9653
i62,7,SAT,2.7712
i63,10,SAT,6.4388
i66,6,SAT,1.9917
i67,9,SAT,7.5697
i68,8,SAT,4.0477
i69,6,SAT,1.963
i72,8,SAT,3.8561
i73,7,SAT,2.9584
i74,6,SAT,2.2378
i76,7,SAT,3.0595
i78,10,SAT,21.3907
i81,8,SAT,5.7025
i82,9,SAT,15.5161
i83,7,SAT,3.6221
i84,8,SAT,3.941
i86,7,SAT,2.9206
i87,8,SAT,4.703
i88,6,SAT,2.0843
i89,8,SAT,4.7152
i91,7,SAT,2.9124
i92,8,SAT,5.858
i93,9,SAT,13.2115
i94,8,SAT,15.3031
i97,8,SAT,9.0127
i98,8,SAT,5.8853
i99,8,SAT,4.9675
