Instance,K_Found,SAT,Time_Seconds
i42,9,SAT,11.2268
i43,8,SAT,3.6662
i49,7,SAT,2.7631
i51,7,SAT,2.4574
i59,8,SAT,4.1091
i56,7,SAT,2.6587
i62,7,SAT,2.6098
i63,10,SAT,23.6967
i61,7,SAT,2.94
i67,9,SAT,17.8181
i68,8,SAT,4.7986
i69,6,SAT,2.001
i66,6,SAT,2.4137
i72,8,SAT,7.516
i73,7,SAT,3.0558
i74,6,SAT,2.4859
i78,10,SAT,62.1411
i76,7,SAT,2.8513
i82,9,SAT,18.7363
i83,7,SAT,3.282
i84,8,SAT,7.7395
i81,8,SAT,25.7476
i87,8,SAT,7.7325
i88,6,SAT,1.8727
i89,8,SAT,12.3993
i86,7,SAT,4.1971
i92,8,SAT,17.6028
i93,9,SAT,23.0983
i94,8,SAT,12.7721
i91,7,SAT,3.8432
i97,8,SAT,10.1021
i98,8,SAT,11.7221
i99,8,SAT,7.8058
