Instance,K_Found,SAT,Time_Seconds
i42,9,SAT,6.7144
i43,8,SAT,3.8876
i49,7,SAT,2.7863
i51,7,SAT,2.6773
i59,8,SAT,3.3103
i56,7,SAT,2.9082
i62,7,SAT,2.8115
i63,10,SAT,25.9697
i61,7,SAT,2.88
i67,9,SAT,11.0748
i68,8,SAT,4.7658
i69,6,SAT,1.9482
i66,6,SAT,1.8949
i72,8,SAT,12.5597
i73,7,SAT,2.7537
i74,6,SAT,2.0815
i78,10,SAT,11.1225
i76,7,SAT,2.4954
i82,9,SAT,19.7986
i83,7,SAT,3.198
i84,8,SAT,6.8018
i81,8,SAT,21.5889
i87,8,SAT,6.4282
i88,6,SAT,2.2833
i89,8,SAT,9.7099
i86,7,SAT,3.4118
i92,8,SAT,25.4821
i93,9,SAT,12.2309
i94,8,SAT,8.5001
i91,7,SAT,3.1434
i97,8,SAT,8.6306
i98,8,SAT,25.1812
i99,8,SAT,4.9745
