Instance,K_Found,SAT,Time_Seconds
i42,9,SAT,10.4181
i43,8,SAT,6.002
i49,7,SAT,2.9871
i51,7,SAT,2.7168
i56,7,SAT,2.8292
i59,8,SAT,7.0737
i61,7,SAT,6.9003
i62,7,SAT,4.3261
i63,10,SAT,126.3858
i66,6,SAT,2.2965
i67,9,SAT,29.3993
i68,8,SAT,6.2188
i69,6,SAT,2.9188
i72,8,SAT,6.6458
i73,7,SAT,7.6901
i74,6,SAT,2.4642
i76,7,SAT,8.9437
i78,,TIMEOUT,300.0
i81,8,SAT,23.3795
i82,9,SAT,166.0475
i83,7,SAT,11.2797
i84,8,SAT,20.7578
i86,7,SAT,7.9156
i87,8,SAT,35.2134
i88,6,SAT,3.3333
i89,8,SAT,55.91
i91,7,SAT,10.2317
i92,8,SAT,23.931
i93,9,SAT,172.0004
i94,8,SAT,66.6605
i97,8,SAT,31.6799
i98,8,SAT,9.4324
i99,8,SAT,35.019
