Instance,K_Found,SAT,Time_Seconds
i42,9,SAT,5.0972
i43,8,SAT,2.9959
i49,7,SAT,2.1497
i51,7,SAT,2.0437
i56,7,SAT,3.9214
i59,8,SAT,4.9672
i61,7,SAT,6.6294
i62,7,SAT,6.8226
i63,10,SAT,14.3766
i66,6,SAT,4.0819
i67,9,SAT,16.2482
i68,8,SAT,8.521
i69,6,SAT,4.1968
i72,8,SAT,9.5588
i73,7,SAT,7.0206
i74,6,SAT,5.4312
i76,7,SAT,7.6744
i78,10,SAT,47.1529
i81,8,SAT,13.2692
i82,9,SAT,34.2781
i83,7,SAT,9.3556
i84,8,SAT,9.9719
i86,7,SAT,6.6663
i87,8,SAT,11.495
i88,6,SAT,2.9029
i89,8,SAT,7.1203
i91,7,SAT,6.2566
i92,8,SAT,12.7903
i93,9,SAT,26.387
i94,8,SAT,20.352
i97,8,SAT,17.3592
i98,8,SAT,11.6835
i99,8,SAT,8.4039
