Instance,K_Found,SAT,Time_Seconds
i42,9,SAT,5.4498
i43,8,SAT,2.7475
i49,7,SAT,2.1555
i51,7,SAT,2.228
i56,7,SAT,2.3011
i59,8,SAT,3.0475
i61,7,SAT,2.4584
i62,7,SAT,2.465
i63,10,SAT,5.6145
i66,6,SAT,1.7989
i67,9,SAT,4.9978
i68,8,SAT,3.0787
i69,6,SAT,1.9315
i72,8,SAT,3.4613
i73,7,SAT,2.355
i74,6,SAT,2.0243
i76,7,SAT,2.7796
i78,10,SAT,14.7973
i81,8,SAT,5.0343
i82,9,SAT,8.0297
i83,7,SAT,3.263
i84,8,SAT,3.729
i86,7,SAT,2.7045
i87,8,SAT,3.9743
i88,6,SAT,2.0698
i89,8,SAT,3.2086
i91,7,SAT,2.2861
i92,8,SAT,3.9503
i93,9,SAT,8.1426
i94,8,SAT,7.5558
i97,8,SAT,6.1495
i98,8,SAT,3.5587
i99,8,SAT,3.5424
