Instance,K_Found,SAT,Time_Seconds
i42,9,SAT,12.7118
i43,8,SAT,4.5245
i49,7,SAT,3.1157
i51,7,SAT,2.8562
i59,8,SAT,4.3086
i56,7,SAT,3.2957
i62,7,SAT,2.712
i63,10,SAT,32.8875
i61,7,SAT,4.0715
i67,9,SAT,25.4886
i68,8,SAT,7.7985
i69,6,SAT,2.0195
i66,6,SAT,2.0643
i72,8,SAT,31.7045
i73,7,SAT,3.2639
i74,6,SAT,2.5085
i78,10,SAT,63.7703
i76,7,SAT,3.361
i82,9,SAT,62.1023
i83,7,SAT,6.2532
i84,8,SAT,8.5025
i81,8,SAT,61.1041
i87,8,SAT,30.052
i88,6,SAT,2.028
i89,8,SAT,11.6039
i86,7,SAT,5.8319
i92,8,SAT,61.5731
i93,9,SAT,134.3998
i94,8,SAT,36.5359
i91,7,SAT,8.4268
i97,8,SAT,35.0042
i98,8,SAT,38.6223
i99,8,SAT,7.5741
