Instance,K_Found,SAT,Time_Seconds
i42,9,SAT,3.3124
i43,8,SAT,2.7857
i49,7,SAT,2.2841
i51,7,SAT,1.9733
i59,8,SAT,2.5363
i56,7,SAT,2.1799
i62,7,SAT,2.3053
i63,10,SAT,4.3075
i61,7,SAT,2.2172
i67,9,SAT,4.5187
i68,8,SAT,2.7742
i69,6,SAT,2.1234
i66,6,SAT,1.9508
i72,8,SAT,3.3744
i73,7,SAT,2.4855
i74,6,SAT,1.8745
i78,10,SAT,6.5624
i76,7,SAT,2.4778
i82,9,SAT,3.8774
i83,7,SAT,2.4354
i84,8,SAT,3.0011
i81,8,SAT,3.1825
i87,8,SAT,3.2337
i88,6,SAT,1.9776
i89,8,SAT,3.1875
i86,7,SAT,2.264
i92,8,SAT,3.7064
i93,9,SAT,4.2821
i94,8,SAT,3.6179
i91,7,SAT,2.6184
i97,8,SAT,3.2588
i98,8,SAT,3.3075
i99,8,SAT,2.929
