Instance,K_Found,SAT,Time_Seconds
i42,9,SAT,9.0561
i43,8,SAT,3.6992
i49,7,SAT,2.7721
i51,7,SAT,2.5912
i56,7,SAT,2.7367
i59,8,SAT,3.6468
i61,7,SAT,3.4085
i62,7,SAT,2.7895
i63,10,SAT,15.6609
i66,6,SAT,1.9847
i67,9,SAT,13.0985
i68,8,SAT,4.1934
i69,6,SAT,1.831
i72,8,SAT,20.2484
i73,7,SAT,2.7462
i74,6,SAT,2.3021
i76,7,SAT,2.7355
i78,10,SAT,17.0471
i81,8,SAT,32.7946
i82,9,SAT,22.4981
i83,7,SAT,4.1694
i84,8,SAT,4.8387
i86,7,SAT,3.7365
i87,8,SAT,10.8136
i88,6,SAT,2.0143
i89,8,SAT,7.3367
i91,7,SAT,2.9483
i92,8,SAT,29.4577
i93,9,SAT,30.468
i94,8,SAT,10.1929
i97,8,SAT,18.4295
i98,8,SAT,16.3912
i99,8,SAT,4.0186
