Instance,K_Found,SAT,Time_Seconds
i42,9,SAT,4.6354
i43,8,SAT,2.7014
i49,7,SAT,2.3391
i51,7,SAT,2.1463
i59,8,SAT,3.0864
i56,7,SAT,2.1886
i62,7,SAT,2.6395
i63,10,SAT,5.3346
i61,7,SAT,2.6414
i67,9,SAT,5.0202
i68,8,SAT,3.4536
i69,6,SAT,1.8765
i66,6,SAT,1.9168
i72,8,SAT,3.3098
i73,7,SAT,2.4213
i74,6,SAT,2.0224
i78,10,SAT,14.3323
i76,7,SAT,2.6326
i82,9,SAT,10.3823
i83,7,SAT,3.3044
i84,8,SAT,3.2841
i81,8,SAT,4.8791
i87,8,SAT,4.0629
i88,6,SAT,1.9518
i89,8,SAT,3.3866
i86,7,SAT,3.1184
i92,8,SAT,4.2544
i93,9,SAT,11.6324
i94,8,SAT,10.2767
i91,7,SAT,2.4727
i97,8,SAT,5.9127
i98,8,SAT,4.4903
i99,8,SAT,3.8329
