Instance,K_Found,SAT,Time_Seconds
i42,9,SAT,7.6892
i43,8,SAT,3.5527
i49,7,SAT,2.5972
i51,7,SAT,2.1825
i59,8,SAT,3.5936
i56,7,SAT,2.5712
i62,7,SAT,3.2441
i63,10,SAT,22.7775
i61,7,SAT,3.3428
i67,9,SAT,10.1912
i68,8,SAT,6.3544
i69,6,SAT,2.1325
i66,6,SAT,2.1093
i72,8,SAT,3.58
i73,7,SAT,2.4356
i74,6,SAT,2.1934
i78,10,SAT,118.1806
i76,7,SAT,2.7018
i82,9,SAT,37.1855
i83,7,SAT,3.2759
i84,8,SAT,4.8793
i81,8,SAT,9.6371
i87,8,SAT,4.664
i88,6,SAT,2.253
i89,8,SAT,5.9235
i86,7,SAT,5.242
i92,8,SAT,6.4129
i93,9,SAT,12.2544
i94,8,SAT,19.1186
i91,7,SAT,2.5456
i97,8,SAT,9.0303
i98,8,SAT,6.3583
i99,8,SAT,8.7305
