Instance,K_Found,SAT,Time_Seconds
i42,9,SAT,14.8022
i43,8,SAT,4.8079
i49,7,SAT,3.025
i51,7,SAT,3.5475
i56,7,SAT,3.096
i59,8,SAT,5.1773
i61,7,SAT,3.8824
i62,7,SAT,4.9087
i63,10,SAT,51.925
i66,6,SAT,2.3852
i67,9,SAT,17.6756
i68,8,SAT,5.6308
i69,6,SAT,2.2639
i72,8,SAT,6.9896
i73,7,SAT,4.1812
i74,6,SAT,2.0685
i76,7,SAT,3.3155
i78,10,SAT,173.7251
i81,8,SAT,17.8349
i82,9,SAT,23.7104
i83,7,SAT,4.3112
i84,8,SAT,13.3042
i86,7,SAT,7.0554
i87,8,SAT,17.6168
i88,6,SAT,2.3758
i89,8,SAT,25.5055
i91,7,SAT,5.6563
i92,8,SAT,34.2375
i93,9,SAT,86.4807
i94,8,SAT,22.1383
i97,8,SAT,29.3142
i98,8,SAT,16.2726
i99,8,SAT,31.3884
