Timestamp,Instance,Nodes,Max_K,Solved_at_K,Min_Cost,Min_Status,Time_SAT_Sec,Time_MIN_Sec
17:48:55,instance_n18_c2_k14_i53.dzn,18,14,6,36,OPTIMAL,1.82,1.30
17:48:59,instance_n18_c2_k17_i54.dzn,18,17,6,62,OPTIMAL,1.38,1.12
17:49:01,instance_n22_c0_k14_i63.dzn,22,14,7,62,OPTIMAL,2.46,19.04
17:49:23,instance_n22_c0_k17_i64.dzn,22,17,8,60,OPTIMAL,3.18,41.92
17:50:08,instance_n22_c1_k11_i67.dzn,22,11,8,58,OPTIMAL,2.84,34.10
17:50:45,instance_n22_c1_k17_i69.dzn,22,17,6,45,OPTIMAL,1.71,3.38
17:50:50,instance_n22_c2_k14_i73.dzn,22,14,6,46,OPTIMAL,1.88,7.25
17:50:59,instance_n22_c2_k17_i74.dzn,22,17,6,50,OPTIMAL,1.96,1.02
17:51:02,instance_n22_c3_k11_i77.dzn,22,11,8,69,OPTIMAL,3.51,49.64
17:51:55,instance_n22_c3_k17_i79.dzn,22,17,6,38,OPTIMAL,1.79,3.81
17:52:01,instance_n22_c3_k8_i76.dzn,22,8,4,52,OPTIMAL,1.05,0.46
17:52:02,instance_n26_c0_k14_i83.dzn,26,14,7,60,OPTIMAL,2.53,23.17
17:52:28,instance_n26_c0_k17_i84.dzn,26,17,8,81,OPTIMAL,2.80,254.47
17:56:45,instance_n26_c0_k8_i81.dzn,26,8,5,50,OPTIMAL,1.50,1.69
17:56:48,instance_n26_c1_k11_i87.dzn,26,11,6,52,OPTIMAL,2.00,3.20
17:56:53,instance_n26_c1_k14_i88.dzn,26,14,9,95,SAT_MIN,4.13,300.24
18:01:58,instance_n26_c1_k17_i89.dzn,26,17,10,115,SAT_MIN,7.72,300.24
18:07:06,instance_n26_c2_k14_i93.dzn,26,14,10,112,SAT_MIN,9.35,300.27
18:12:15,instance_n26_c2_k17_i94.dzn,26,17,9,87,SAT_MIN,4.29,300.19
18:17:20,instance_n26_c3_k17_i99.dzn,26,17,7,63,OPTIMAL,2.32,38.05
