Timestamp,Instance,Nodes,Max_K,Solved_at_K,Min_Cost,Min_Status,Time_SAT_Sec,Time_MIN_Sec
18:24:36,instance_n18_c2_k14_i53.dzn,18,14,6,36,OPTIMAL,1.49,0.64
18:24:38,instance_n18_c2_k17_i54.dzn,18,17,6,62,OPTIMAL,1.63,0.55
18:24:40,instance_n22_c0_k14_i63.dzn,22,14,7,62,OPTIMAL,2.15,9.22
18:24:51,instance_n22_c0_k17_i64.dzn,22,17,8,60,OPTIMAL,3.34,41.52
18:25:36,instance_n22_c1_k11_i67.dzn,22,11,8,58,OPTIMAL,3.39,30.96
18:26:11,instance_n22_c1_k17_i69.dzn,22,17,6,45,OPTIMAL,1.86,2.58
18:26:15,instance_n22_c2_k14_i73.dzn,22,14,6,46,OPTIMAL,1.86,3.32
18:26:20,instance_n22_c2_k17_i74.dzn,22,17,6,50,OPTIMAL,2.30,0.79
18:26:23,instance_n22_c3_k11_i77.dzn,22,11,8,69,OPTIMAL,3.65,21.33
18:26:48,instance_n22_c3_k17_i79.dzn,22,17,6,38,OPTIMAL,1.75,2.00
18:26:52,instance_n22_c3_k8_i76.dzn,22,8,4,52,OPTIMAL,1.16,0.33
18:26:54,instance_n26_c0_k14_i83.dzn,26,14,7,60,OPTIMAL,2.60,7.42
18:27:04,instance_n26_c0_k17_i84.dzn,26,17,8,81,OPTIMAL,3.09,97.26
18:28:44,instance_n26_c0_k8_i81.dzn,26,8,5,50,OPTIMAL,1.63,0.98
18:28:47,instance_n26_c1_k11_i87.dzn,26,11,6,52,OPTIMAL,1.67,0.92
18:28:49,instance_n26_c1_k14_i88.dzn,26,14,9,91,SAT_MIN,4.46,300.23
18:33:54,instance_n26_c1_k17_i89.dzn,26,17,10,95,SAT_MIN,7.46,300.19
18:39:01,instance_n26_c2_k14_i93.dzn,26,14,10,102,SAT_MIN,8.67,300.22
18:44:10,instance_n26_c2_k17_i94.dzn,26,17,9,84,OPTIMAL,4.56,284.34
18:48:59,instance_n26_c3_k17_i99.dzn,26,17,7,63,OPTIMAL,2.72,14.81
