Timestamp,Instance,Nodes,Max_K,Solved_at_K,Min_Cost,Min_Status,Time_SAT_Sec,Time_MIN_Sec
10:27:08,instance_n22_c0_k8_i61.dzn,22,8,8,93,OPTIMAL,2.20,2.74
10:27:13,instance_n22_c1_k11_i67.dzn,22,11,8,58,OPTIMAL,1.98,3.01
10:27:18,instance_n22_c1_k14_i68.dzn,22,14,9,60,OPTIMAL,2.38,3.26
10:27:24,instance_n22_c1_k17_i69.dzn,22,17,6,45,OPTIMAL,1.16,0.42
10:27:25,instance_n22_c1_k5_i65.dzn,22,5,5,42,OPTIMAL,0.91,0.29
10:27:27,instance_n22_c1_k8_i66.dzn,22,8,6,65,OPTIMAL,1.19,0.39
10:27:28,instance_n22_c2_k11_i72.dzn,22,11,8,64,OPTIMAL,1.98,2.67
10:27:33,instance_n22_c2_k14_i73.dzn,22,14,6,46,OPTIMAL,1.21,0.50
10:27:35,instance_n22_c2_k17_i74.dzn,22,17,6,50,OPTIMAL,1.13,0.28
10:27:36,instance_n22_c2_k5_i70.dzn,22,5,4,33,OPTIMAL,0.72,0.20
10:27:37,instance_n22_c2_k8_i71.dzn,22,8,7,57,OPTIMAL,1.50,1.15
10:27:39,instance_n22_c3_k11_i77.dzn,22,11,8,69,OPTIMAL,2.31,3.57
10:27:45,instance_n22_c3_k14_i78.dzn,22,14,7,80,OPTIMAL,1.39,0.49
10:27:47,instance_n22_c3_k17_i79.dzn,22,17,6,38,OPTIMAL,1.15,0.33
10:27:49,instance_n22_c3_k5_i75.dzn,22,5,4,47,OPTIMAL,0.71,0.21
10:27:50,instance_n22_c3_k8_i76.dzn,22,8,4,52,OPTIMAL,0.71,0.20
10:27:51,instance_n26_c0_k11_i82.dzn,26,11,10,81,OPTIMAL,7.69,83.44
10:29:22,instance_n26_c0_k14_i83.dzn,26,14,7,60,OPTIMAL,1.56,1.26
10:29:24,instance_n26_c0_k17_i84.dzn,26,17,8,81,OPTIMAL,1.86,3.05
10:29:29,instance_n26_c0_k5_i80.dzn,26,5,5,49,OPTIMAL,0.96,0.29
10:29:31,instance_n26_c0_k8_i81.dzn,26,8,5,50,OPTIMAL,0.99,0.28
10:29:32,instance_n26_c1_k11_i87.dzn,26,11,6,52,OPTIMAL,1.20,0.44
10:29:34,instance_n26_c1_k14_i88.dzn,26,14,9,91,OPTIMAL,3.17,22.19
10:29:59,instance_n26_c1_k17_i89.dzn,26,17,10,95,OPTIMAL,6.40,27.06
10:30:32,instance_n26_c1_k5_i85.dzn,26,5,4,54,OPTIMAL,0.76,0.21
10:30:33,instance_n26_c1_k8_i86.dzn,26,8,7,64,OPTIMAL,1.57,1.49
10:30:36,instance_n26_c2_k11_i92.dzn,26,11,8,57,OPTIMAL,2.02,2.63
10:30:41,instance_n26_c2_k14_i93.dzn,26,14,10,96,OPTIMAL,7.35,49.06
10:31:37,instance_n26_c2_k17_i94.dzn,26,17,9,84,OPTIMAL,3.18,5.90
10:31:47,instance_n26_c2_k5_i90.dzn,26,5,5,49,OPTIMAL,1.02,0.30
10:31:48,instance_n26_c2_k8_i91.dzn,26,8,8,90,OPTIMAL,2.26,7.17
10:31:57,instance_n26_c3_k11_i97.dzn,26,11,7,71,OPTIMAL,1.54,1.29
10:32:00,instance_n26_c3_k14_i98.dzn,26,14,7,53,OPTIMAL,1.57,0.61
10:32:02,instance_n26_c3_k17_i99.dzn,26,17,7,63,OPTIMAL,1.54,1.29
10:32:05,instance_n26_c3_k5_i95.dzn,26,5,5,58,OPTIMAL,1.01,0.31
10:32:06,instance_n26_c3_k8_i96.dzn,26,8,6,52,OPTIMAL,1.27,0.46
