Instance,K_Found,Min_Cost,SAT,Time_Seconds,Time_MIN_Sec
i53,6,36,OPTIMAL,2.21,0.45
i54,6,62,OPTIMAL,2.9,0.6
i63,7,62,OPTIMAL,4.29,1.59
i64,8,60,OPTIMAL,7.53,3.81
i67,8,58,OPTIMAL,6.45,2.83
i69,6,45,OPTIMAL,3.09,0.85
i73,6,46,OPTIMAL,3.59,1.3
i74,6,50,OPTIMAL,2.55,0.51
i76,4,52,OPTIMAL,1.7,0.53
i77,8,69,OPTIMAL,7.02,3.2
i79,6,38,OPTIMAL,2.88,0.56
i81,5,50,OPTIMAL,2.5,0.57
i83,7,60,OPTIMAL,4.68,1.68
i84,8,81,OPTIMAL,17.35,13.95
i87,6,52,OPTIMAL,2.83,0.63
i88,9,91,OPTIMAL,52.38,47.97
i89,10,95,OPTIMAL,87.83,79.77
i93,10,96,OPTIMAL,86.48,76.77
i94,9,84,OPTIMAL,37.9,32.9
i99,7,63,OPTIMAL,6.83,4.62
