Instance,K_Found,Min_Cost,SAT,Time_Seconds,Time_MIN_Sec
i53,6,36,OPTIMAL,2.08,0.62
i54,6,62,OPTIMAL,3.32,1.62
i63,7,62,OPTIMAL,22.3,19.82
i64,8,60,OPTIMAL,116.14,112.72
i67,8,59,SAT_MIN,303.28,300.26
i69,6,45,OPTIMAL,3.11,1.15
i73,6,46,OPTIMAL,4.15,2.28
i74,6,50,OPTIMAL,3.35,1.66
i76,4,52,OPTIMAL,1.48,0.44
i77,8,69,OPTIMAL,66.19,62.18
i79,6,38,OPTIMAL,3.68,1.79
i81,5,50,OPTIMAL,6.2,4.21
i83,7,60,OPTIMAL,111.06,108.68
i84,8,,ERROR_MIN,303.08,300.25
i87,6,52,OPTIMAL,4.8,2.44
i88,9,93,SAT_MIN,305.39,300.27
i89,10,99,SAT_MIN,308.08,300.19
i93,10,,ERROR_MIN,309.07,300.14
i94,9,86,SAT_MIN,304.51,300.19
i99,7,63,OPTIMAL,108.36,106.04
