Instance,K_Found,Min_Cost,SAT,Time_Seconds
i53,6,36.0,OPTIMAL,0.41
i54,6,62.0,OPTIMAL,0.77
i63,7,62.0,OPTIMAL,3.74
i64,8,60.0,OPTIMAL,21.02
i67,8,58.0,OPTIMAL,29.24
i69,6,45.0,OPTIMAL,1.32
i73,6,46.0,OPTIMAL,2.6
i74,6,50.0,OPTIMAL,1.09
i77,8,69.0,OPTIMAL,18.99
i79,6,38.0,OPTIMAL,1.03
i76,4,52.0,OPTIMAL,0.36
i83,7,60.0,OPTIMAL,13.46
i84,8,81.0,OPTIMAL,82.14
i81,5,50.0,OPTIMAL,0.69
i87,6,52.0,OPTIMAL,0.76
i88,9,91.0,SAT_MIN,300.12
i89,10,,ERROR_MIN,300.17
i93,10,108.0,SAT_MIN,300.13
i94,9,84.0,OPTIMAL,226.25
i99,7,63.0,OPTIMAL,12.16
