Instance,K_Found,Min_Cost,SAT,Time_Seconds,Time_MIN_Sec
i53,6,36,OPTIMAL,2.09,0.44
i54,6,62,OPTIMAL,2.04,0.33
i63,7,62,OPTIMAL,3.56,1.15
i64,8,60,OPTIMAL,8.34,4.93
i67,8,58,OPTIMAL,6.85,3.74
i69,6,45,OPTIMAL,2.49,0.6
i73,6,46,OPTIMAL,2.85,0.73
i74,6,50,OPTIMAL,2.52,0.45
i76,4,52,OPTIMAL,1.61,0.4
i77,8,69,OPTIMAL,8.43,4.72
i79,6,38,OPTIMAL,2.56,0.61
i81,5,50,OPTIMAL,2.0,0.29
i83,7,60,OPTIMAL,4.08,1.64
i84,8,81,OPTIMAL,6.58,3.84
i87,6,52,OPTIMAL,3.12,1.05
i88,9,91,OPTIMAL,47.15,36.97
i89,10,95,OPTIMAL,37.08,29.17
i93,10,96,OPTIMAL,63.03,53.96
i94,9,84,OPTIMAL,11.82,7.19
i99,7,63,OPTIMAL,4.4,1.73
