Instance,K_Found,Min_Cost,SAT,Time_Seconds,Time_MIN_Sec
i53,6,36,OPTIMAL,2.37,0.69
i54,6,62,OPTIMAL,2.38,0.68
i63,7,62,OPTIMAL,6.77,4.4
i64,8,60,OPTIMAL,16.75,13.43
i67,8,58,OPTIMAL,18.29,14.72
i69,6,45,OPTIMAL,3.24,1.53
i73,6,46,OPTIMAL,3.33,1.53
i74,6,50,OPTIMAL,2.81,0.7
i76,4,52,OPTIMAL,1.6,0.44
i77,8,69,OPTIMAL,15.15,11.2
i79,6,38,OPTIMAL,2.66,1.08
i81,5,50,OPTIMAL,2.13,0.59
i83,7,60,OPTIMAL,5.53,3.0
i84,8,81,OPTIMAL,83.17,80.36
i87,6,52,OPTIMAL,2.73,0.84
i88,9,91,SAT_MIN,304.38,300.27
i89,10,95,OPTIMAL,279.73,272.03
i93,10,113,SAT_MIN,309.0,300.25
i94,9,84,OPTIMAL,171.52,167.23
i99,7,63,OPTIMAL,15.3,12.8
