Instance,K_Found,Min_Cost,SAT,Time_Seconds,Time_MIN_Sec
i53,6,36,OPTIMAL,2.29,0.65
i54,6,62,OPTIMAL,2.57,0.86
i63,7,62,OPTIMAL,19.29,16.9
i64,8,60,OPTIMAL,39.95,36.45
i67,8,58,OPTIMAL,27.88,24.73
i69,6,45,OPTIMAL,5.06,2.91
i73,6,46,OPTIMAL,6.65,4.61
i74,6,50,OPTIMAL,2.95,1.23
i76,4,52,OPTIMAL,1.47,0.4
i77,8,69,OPTIMAL,33.5,29.73
i79,6,38,OPTIMAL,4.03,2.1
i81,5,50,OPTIMAL,2.88,1.11
i83,7,60,OPTIMAL,7.95,5.3
i84,8,81,OPTIMAL,111.07,108.46
i87,6,52,OPTIMAL,4.19,2.08
i88,9,99,SAT_MIN,305.06,300.16
i89,10,95,SAT_MIN,308.04,300.2
i93,10,101,SAT_MIN,310.01,300.14
i94,9,84,SAT_MIN,305.19,300.26
i99,7,63,OPTIMAL,18.57,16.06
