Instance;chuffed_K_Found;chuffed_Min_Cost;chuffed_SAT;chuffed_Time_Seconds;chuffed_Time_MIN_Sec;gecode_K_Found;gecode_Min_Cost;gecode_SAT;gecode_Time_Seconds;gecode_Time_MIN_Sec;HiGHs_K_Found;HiGHs_Min_Cost;HiGHs_SAT;HiGHs_Time_Seconds;HiGHs_Time_MIN_Sec;ortools_K_Found;ortools_Min_Cost;ortools_SAT;ortools_Time_Seconds;ortools_Time_MIN_Sec
i35;5;44;OPTIMAL;1,13;0,22;5;44;OPTIMAL;1,2;0,29;5;44;OPTIMAL;14,01;13,06;5;44;OPTIMAL;1,34;0,42
i36;5;34;OPTIMAL;1,13;0,23;5;34;OPTIMAL;1,3;0,29;5;34;OPTIMAL;11,07;10,2;5;34;OPTIMAL;1,26;0,36
i37;5;66;OPTIMAL;1,15;0,24;5;66;OPTIMAL;1,22;0,26;5;66;OPTIMAL;19,24;18,35;5;66;OPTIMAL;1,21;0,32
i38;5;43;OPTIMAL;1,16;0,21;5;43;OPTIMAL;1,16;0,28;5;43;OPTIMAL;4,67;3,8;5;43;OPTIMAL;1,24;0,34
i39;6;55;OPTIMAL;1,35;0,23;6;55;OPTIMAL;1,82;0,56;6;55;OPTIMAL;36,57;35,45;6;55;OPTIMAL;1,62;0,47
i40;5;37;OPTIMAL;1,19;0,25;5;37;OPTIMAL;1,23;0,27;5;37;OPTIMAL;31,98;31,08;5;37;OPTIMAL;2,19;1,23
i41;4;37;OPTIMAL;0,91;0,2;4;37;OPTIMAL;0,99;0,21;4;37;OPTIMAL;10,56;9,86;4;37;OPTIMAL;1,08;0,39
i42;3;29;OPTIMAL;0,76;0,2;3;29;OPTIMAL;0,74;0,19;3;29;OPTIMAL;1,1;0,58;3;29;OPTIMAL;0,76;0,24
i43;6;54;OPTIMAL;1,59;0,4;6;54;OPTIMAL;3,98;2,75;6;55;SAT_MIN;301,37;300,18;6;54;OPTIMAL;5,72;4,55
i44;6;55;OPTIMAL;1,5;0,38;6;55;OPTIMAL;4,16;2,96;6;55;OPTIMAL;128,21;127,11;6;55;OPTIMAL;5,1;3,97
i45;5;43;OPTIMAL;1,21;0,29;5;43;OPTIMAL;1,32;0,32;5;43;OPTIMAL;48,75;47,82;5;43;OPTIMAL;1,79;0,87
i46;8;52;OPTIMAL;3,17;1,42;8;52;SAT_MIN;301,87;300,12;8;76;SAT_MIN;301,91;300,2;8;52;OPTIMAL;79,86;78,14
i47;6;45;OPTIMAL;1,45;0,3;6;45;OPTIMAL;2,95;1,76;6;45;OPTIMAL;217,65;216,53;6;45;OPTIMAL;2,67;1,52
i48;6;37;OPTIMAL;1,54;0,37;6;37;OPTIMAL;3,67;2,46;6;37;OPTIMAL;228,33;227,11;6;37;OPTIMAL;4,26;3,08
i49;6;70;OPTIMAL;1,59;0,4;6;70;OPTIMAL;2,14;0,92;6;70;OPTIMAL;223,34;222,2;6;70;OPTIMAL;4,03;2,89
i50;4;32;OPTIMAL;0,94;0,21;4;32;OPTIMAL;1,01;0,24;4;32;OPTIMAL;5,15;4,39;4;32;OPTIMAL;1,07;0,36
i51;5;55;OPTIMAL;1,16;0,25;5;55;OPTIMAL;1,34;0,35;5;55;OPTIMAL;18,87;17,97;5;55;OPTIMAL;1,49;0,59
i52;7;55;OPTIMAL;1,93;0,48;7;55;OPTIMAL;8,69;7,16;7;65;SAT_MIN;301,74;300,19;7;55;OPTIMAL;6,9;5,42
i53;6;36;OPTIMAL;1,55;0,35;6;36;OPTIMAL;3,54;2,37;6;36;OPTIMAL;66,25;65,12;6;36;OPTIMAL;3,58;2,48
i54;6;62;OPTIMAL;1,51;0,33;6;62;OPTIMAL;2,35;1,15;6;62;OPTIMAL;131,2;130,04;6;62;OPTIMAL;4,39;3,25
i55;4;53;OPTIMAL;1,07;0,25;4;53;OPTIMAL;0,97;0,21;4;53;OPTIMAL;5,78;5,06;4;53;OPTIMAL;1,0;0,31
i56;5;33;OPTIMAL;1,29;0,26;5;33;OPTIMAL;1,43;0,44;5;33;OPTIMAL;34,22;33,3;5;33;OPTIMAL;1,71;0,77
i57;6;41;OPTIMAL;1,43;0,29;6;41;OPTIMAL;4,85;3,6;6;41;OPTIMAL;53,83;52,68;6;41;OPTIMAL;2,32;1,18
i58;5;59;OPTIMAL;1,2;0,25;5;59;OPTIMAL;1,47;0,51;5;59;OPTIMAL;38,6;37,69;5;59;OPTIMAL;1,4;0,47
i59;7;56;OPTIMAL;2,57;0,98;7;56;OPTIMAL;6,47;4,98;7;56;SAT_MIN;301,68;300,23;7;56;OPTIMAL;9,75;8,35
i60;5;56;OPTIMAL;1,26;0,3;5;56;OPTIMAL;1,5;0,51;5;56;OPTIMAL;45,85;44,85;5;56;OPTIMAL;2,48;1,55
i61;8;93;OPTIMAL;4,94;2,74;8;93;SAT_MIN;302,32;300,13;8;113;SAT_MIN;302,46;300,28;8;93;OPTIMAL;189,85;187,77
i62;7;49;OPTIMAL;2,56;0,92;7;49;OPTIMAL;36,17;34,54;7;68;SAT_MIN;301,82;300,22;7;49;OPTIMAL;17,45;16,0
