Instance,K_Found,Min_Cost,SAT,Time_Seconds
i53,6,36,OPTIMAL,1.3
i54,6,62,OPTIMAL,1.12
i63,7,62,OPTIMAL,19.04
i64,8,60,OPTIMAL,41.92
i67,8,58,OPTIMAL,34.1
i69,6,45,OPTIMAL,3.38
i73,6,46,OPTIMAL,7.25
i74,6,50,OPTIMAL,1.02
i77,8,69,OPTIMAL,49.64
i79,6,38,OPTIMAL,3.81
i76,4,52,OPTIMAL,0.46
i83,7,60,OPTIMAL,23.17
i84,8,81,OPTIMAL,254.47
i81,5,50,OPTIMAL,1.69
i87,6,52,OPTIMAL,3.2
i88,9,95,SAT_MIN,300.24
i89,10,115,SAT_MIN,300.24
i93,10,112,SAT_MIN,300.27
i94,9,87,SAT_MIN,300.19
i99,7,63,OPTIMAL,38.05
