Instance,K_Found,Min_Cost,SAT,Time_Seconds,Time_MIN_Sec
i53,6,36,OPTIMAL,2.13,0.64
i54,6,62,OPTIMAL,2.18,0.55
i63,7,62,OPTIMAL,11.37,9.22
i64,8,60,OPTIMAL,44.86,41.52
i67,8,58,OPTIMAL,34.35,30.96
i69,6,45,OPTIMAL,4.44,2.58
i73,6,46,OPTIMAL,5.18,3.32
i74,6,50,OPTIMAL,3.09,0.79
i76,4,52,OPTIMAL,1.49,0.33
i77,8,69,OPTIMAL,24.98,21.33
i79,6,38,OPTIMAL,3.75,2.0
i81,5,50,OPTIMAL,2.61,0.98
i83,7,60,OPTIMAL,10.02,7.42
i84,8,81,OPTIMAL,100.35,97.26
i87,6,52,OPTIMAL,2.59,0.92
i88,9,91,SAT_MIN,304.69,300.23
i89,10,95,SAT_MIN,307.65,300.19
i93,10,102,SAT_MIN,308.89,300.22
i94,9,84,OPTIMAL,288.9,284.34
i99,7,63,OPTIMAL,17.53,14.81
