Instance,K_Found,Min_Cost,SAT,Time_Seconds,Time_MIN_Sec
i53,6,36,OPTIMAL,2.1,0.3
i54,6,62,OPTIMAL,1.85,0.45
i63,7,62,OPTIMAL,5.49,2.87
i64,8,60,OPTIMAL,12.44,9.1
i67,8,58,OPTIMAL,9.78,6.53
i69,6,45,OPTIMAL,2.58,0.6
i73,6,46,OPTIMAL,3.14,1.08
i74,6,50,OPTIMAL,2.13,0.54
i76,4,52,OPTIMAL,1.39,0.35
i77,8,69,OPTIMAL,9.92,6.32
i79,6,38,OPTIMAL,2.37,0.54
i81,5,50,OPTIMAL,2.22,0.41
i83,7,60,OPTIMAL,4.08,1.56
i84,8,81,OPTIMAL,11.35,8.39
i87,6,52,OPTIMAL,2.81,0.58
i88,9,91,OPTIMAL,65.17,60.12
i89,10,95,SAT_MIN,308.05,300.29
i93,10,96,OPTIMAL,198.87,189.77
i94,9,84,OPTIMAL,42.81,38.58
i99,7,63,OPTIMAL,6.6,4.14
