Timestamp,Instance,Nodes,Max_K,Solved_at_K,Status,Time_Seconds
2026-02-06 15:29:09,instance_n18_c0_k11_i42.dzn,18,11,9,SAT,4.6354
2026-02-06 15:29:13,instance_n18_c0_k14_i43.dzn,18,14,8,SAT,2.7014
2026-02-06 15:29:16,instance_n18_c1_k17_i49.dzn,18,17,7,SAT,2.3391
2026-02-06 15:29:18,instance_n18_c2_k8_i51.dzn,18,8,7,SAT,2.1463
2026-02-06 15:29:21,instance_n18_c3_k17_i59.dzn,18,17,8,SAT,3.0864
2026-02-06 15:29:24,instance_n18_c3_k8_i56.dzn,18,8,7,SAT,2.1886
2026-02-06 15:29:26,instance_n22_c0_k11_i62.dzn,22,11,7,SAT,2.6395
2026-02-06 15:29:28,instance_n22_c0_k14_i63.dzn,22,14,10,SAT,5.3346
2026-02-06 15:29:34,instance_n22_c0_k8_i61.dzn,22,8,7,SAT,2.6414
2026-02-06 15:29:36,instance_n22_c1_k11_i67.dzn,22,11,9,SAT,5.0202
2026-02-06 15:29:41,instance_n22_c1_k14_i68.dzn,22,14,8,SAT,3.4536
2026-02-06 15:29:45,instance_n22_c1_k17_i69.dzn,22,17,6,SAT,1.8765
2026-02-06 15:29:47,instance_n22_c1_k8_i66.dzn,22,8,6,SAT,1.9168
2026-02-06 15:29:49,instance_n22_c2_k11_i72.dzn,22,11,8,SAT,3.3098
2026-02-06 15:29:52,instance_n22_c2_k14_i73.dzn,22,14,7,SAT,2.4213
2026-02-06 15:29:54,instance_n22_c2_k17_i74.dzn,22,17,6,SAT,2.0224
2026-02-06 15:29:56,instance_n22_c3_k14_i78.dzn,22,14,10,SAT,14.3323
2026-02-06 15:30:11,instance_n22_c3_k8_i76.dzn,22,8,7,SAT,2.6326
2026-02-06 15:30:13,instance_n26_c0_k11_i82.dzn,26,11,9,SAT,10.3823
2026-02-06 15:30:24,instance_n26_c0_k14_i83.dzn,26,14,7,SAT,3.3044
2026-02-06 15:30:27,instance_n26_c0_k17_i84.dzn,26,17,8,SAT,3.2841
2026-02-06 15:30:30,instance_n26_c0_k8_i81.dzn,26,8,8,SAT,4.8791
2026-02-06 15:30:35,instance_n26_c1_k11_i87.dzn,26,11,8,SAT,4.0629
2026-02-06 15:30:39,instance_n26_c1_k14_i88.dzn,26,14,6,SAT,1.9518
2026-02-06 15:30:41,instance_n26_c1_k17_i89.dzn,26,17,8,SAT,3.3866
2026-02-06 15:30:45,instance_n26_c1_k8_i86.dzn,26,8,7,SAT,3.1184
2026-02-06 15:30:48,instance_n26_c2_k11_i92.dzn,26,11,8,SAT,4.2544
2026-02-06 15:30:52,instance_n26_c2_k14_i93.dzn,26,14,9,SAT,11.6324
2026-02-06 15:31:04,instance_n26_c2_k17_i94.dzn,26,17,8,SAT,10.2767
2026-02-06 15:31:14,instance_n26_c2_k8_i91.dzn,26,8,7,SAT,2.4727
2026-02-06 15:31:16,instance_n26_c3_k11_i97.dzn,26,11,8,SAT,5.9127
2026-02-06 15:31:22,instance_n26_c3_k14_i98.dzn,26,14,8,SAT,4.4903
2026-02-06 15:31:27,instance_n26_c3_k17_i99.dzn,26,17,8,SAT,3.8329
