Timestamp,Instance,Nodes,Max_K,Solved_at_K,Status,Time_Seconds
2026-02-06 15:19:28,instance_n18_c0_k11_i42.dzn,18,11,9,SAT,6.4339
2026-02-06 15:19:34,instance_n18_c0_k14_i43.dzn,18,14,8,SAT,3.2653
2026-02-06 15:19:38,instance_n18_c1_k17_i49.dzn,18,17,7,SAT,2.3180
2026-02-06 15:19:40,instance_n18_c2_k8_i51.dzn,18,8,7,SAT,2.6838
2026-02-06 15:19:43,instance_n18_c3_k17_i59.dzn,18,17,8,SAT,3.3122
2026-02-06 15:19:46,instance_n18_c3_k8_i56.dzn,18,8,7,SAT,2.2309
2026-02-06 15:19:48,instance_n22_c0_k11_i62.dzn,22,11,7,SAT,2.7712
2026-02-06 15:19:51,instance_n22_c0_k14_i63.dzn,22,14,10,SAT,6.4388
2026-02-06 15:19:57,instance_n22_c0_k8_i61.dzn,22,8,7,SAT,2.9653
2026-02-06 15:20:00,instance_n22_c1_k11_i67.dzn,22,11,9,SAT,7.5697
2026-02-06 15:20:08,instance_n22_c1_k14_i68.dzn,22,14,8,SAT,4.0477
2026-02-06 15:20:12,instance_n22_c1_k17_i69.dzn,22,17,6,SAT,1.9630
2026-02-06 15:20:14,instance_n22_c1_k8_i66.dzn,22,8,6,SAT,1.9917
2026-02-06 15:20:16,instance_n22_c2_k11_i72.dzn,22,11,8,SAT,3.8561
2026-02-06 15:20:20,instance_n22_c2_k14_i73.dzn,22,14,7,SAT,2.9584
2026-02-06 15:20:23,instance_n22_c2_k17_i74.dzn,22,17,6,SAT,2.2378
2026-02-06 15:20:25,instance_n22_c3_k14_i78.dzn,22,14,10,SAT,21.3907
2026-02-06 15:20:46,instance_n22_c3_k8_i76.dzn,22,8,7,SAT,3.0595
2026-02-06 15:20:49,instance_n26_c0_k11_i82.dzn,26,11,9,SAT,15.5161
2026-02-06 15:21:05,instance_n26_c0_k14_i83.dzn,26,14,7,SAT,3.6221
2026-02-06 15:21:09,instance_n26_c0_k17_i84.dzn,26,17,8,SAT,3.9410
2026-02-06 15:21:12,instance_n26_c0_k8_i81.dzn,26,8,8,SAT,5.7025
2026-02-06 15:21:18,instance_n26_c1_k11_i87.dzn,26,11,8,SAT,4.7030
2026-02-06 15:21:23,instance_n26_c1_k14_i88.dzn,26,14,6,SAT,2.0843
2026-02-06 15:21:25,instance_n26_c1_k17_i89.dzn,26,17,8,SAT,4.7152
2026-02-06 15:21:30,instance_n26_c1_k8_i86.dzn,26,8,7,SAT,2.9206
2026-02-06 15:21:33,instance_n26_c2_k11_i92.dzn,26,11,8,SAT,5.8580
2026-02-06 15:21:38,instance_n26_c2_k14_i93.dzn,26,14,9,SAT,13.2115
2026-02-06 15:21:52,instance_n26_c2_k17_i94.dzn,26,17,8,SAT,15.3031
2026-02-06 15:22:07,instance_n26_c2_k8_i91.dzn,26,8,7,SAT,2.9124
2026-02-06 15:22:10,instance_n26_c3_k11_i97.dzn,26,11,8,SAT,9.0127
2026-02-06 15:22:19,instance_n26_c3_k14_i98.dzn,26,14,8,SAT,5.8853
2026-02-06 15:22:25,instance_n26_c3_k17_i99.dzn,26,17,8,SAT,4.9675
