Timestamp,Instance,Nodes,Max_K,Solved_at_K,Status,Time_Seconds
2026-02-06 15:05:34,instance_n18_c0_k11_i42.dzn,18,11,9,SAT,5.0972
2026-02-06 15:05:39,instance_n18_c0_k14_i43.dzn,18,14,8,SAT,2.9959
2026-02-06 15:05:42,instance_n18_c1_k17_i49.dzn,18,17,7,SAT,2.1497
2026-02-06 15:05:44,instance_n18_c2_k8_i51.dzn,18,8,7,SAT,2.0437
2026-02-06 15:05:46,instance_n18_c3_k17_i59.dzn,18,17,8,SAT,4.9672
2026-02-06 15:05:51,instance_n18_c3_k8_i56.dzn,18,8,7,SAT,3.9214
2026-02-06 15:05:55,instance_n22_c0_k11_i62.dzn,22,11,7,SAT,6.8226
2026-02-06 15:06:02,instance_n22_c0_k14_i63.dzn,22,14,10,SAT,14.3766
2026-02-06 15:06:16,instance_n22_c0_k8_i61.dzn,22,8,7,SAT,6.6294
2026-02-06 15:06:23,instance_n22_c1_k11_i67.dzn,22,11,9,SAT,16.2482
2026-02-06 15:06:39,instance_n22_c1_k14_i68.dzn,22,14,8,SAT,8.5210
2026-02-06 15:06:48,instance_n22_c1_k17_i69.dzn,22,17,6,SAT,4.1968
2026-02-06 15:06:52,instance_n22_c1_k8_i66.dzn,22,8,6,SAT,4.0819
2026-02-06 15:06:56,instance_n22_c2_k11_i72.dzn,22,11,8,SAT,9.5588
2026-02-06 15:07:06,instance_n22_c2_k14_i73.dzn,22,14,7,SAT,7.0206
2026-02-06 15:07:13,instance_n22_c2_k17_i74.dzn,22,17,6,SAT,5.4312
2026-02-06 15:07:18,instance_n22_c3_k14_i78.dzn,22,14,10,SAT,47.1529
2026-02-06 15:08:05,instance_n22_c3_k8_i76.dzn,22,8,7,SAT,7.6744
2026-02-06 15:08:13,instance_n26_c0_k11_i82.dzn,26,11,9,SAT,34.2781
2026-02-06 15:08:47,instance_n26_c0_k14_i83.dzn,26,14,7,SAT,9.3556
2026-02-06 15:08:57,instance_n26_c0_k17_i84.dzn,26,17,8,SAT,9.9719
2026-02-06 15:09:07,instance_n26_c0_k8_i81.dzn,26,8,8,SAT,13.2692
2026-02-06 15:09:20,instance_n26_c1_k11_i87.dzn,26,11,8,SAT,11.4950
2026-02-06 15:09:31,instance_n26_c1_k14_i88.dzn,26,14,6,SAT,2.9029
2026-02-06 15:09:34,instance_n26_c1_k17_i89.dzn,26,17,8,SAT,7.1203
2026-02-06 15:09:41,instance_n26_c1_k8_i86.dzn,26,8,7,SAT,6.6663
2026-02-06 15:09:48,instance_n26_c2_k11_i92.dzn,26,11,8,SAT,12.7903
2026-02-06 15:10:01,instance_n26_c2_k14_i93.dzn,26,14,9,SAT,26.3870
2026-02-06 15:10:27,instance_n26_c2_k17_i94.dzn,26,17,8,SAT,20.3520
2026-02-06 15:10:48,instance_n26_c2_k8_i91.dzn,26,8,7,SAT,6.2566
2026-02-06 15:10:54,instance_n26_c3_k11_i97.dzn,26,11,8,SAT,17.3592
2026-02-06 15:11:11,instance_n26_c3_k14_i98.dzn,26,14,8,SAT,11.6835
2026-02-06 15:11:23,instance_n26_c3_k17_i99.dzn,26,17,8,SAT,8.4039
