Timestamp,Instance,Nodes,Max_K,Solved_at_K,Status,Time_Seconds
2026-02-06 14:31:47,instance_n18_c0_k11_i42.dzn,18,11,9,SAT,7.1373
2026-02-06 14:31:55,instance_n18_c0_k14_i43.dzn,18,14,8,SAT,4.1434
2026-02-06 14:31:59,instance_n18_c1_k17_i49.dzn,18,17,7,SAT,2.8261
2026-02-06 14:32:02,instance_n18_c2_k8_i51.dzn,18,8,7,SAT,1.7541
2026-02-06 14:32:03,instance_n18_c3_k17_i59.dzn,18,17,8,SAT,6.2718
2026-02-06 14:32:10,instance_n18_c3_k8_i56.dzn,18,8,7,SAT,2.5028
2026-02-06 14:32:12,instance_n22_c0_k11_i62.dzn,22,11,7,SAT,3.6010
2026-02-06 14:32:16,instance_n22_c0_k14_i63.dzn,22,14,10,SAT,63.1583
2026-02-06 14:33:19,instance_n22_c0_k8_i61.dzn,22,8,7,SAT,5.1545
2026-02-06 14:33:24,instance_n22_c1_k11_i67.dzn,22,11,9,SAT,16.4671
2026-02-06 14:33:40,instance_n22_c1_k14_i68.dzn,22,14,8,SAT,4.7755
2026-02-06 14:33:45,instance_n22_c1_k17_i69.dzn,22,17,6,SAT,2.4835
2026-02-06 14:33:48,instance_n22_c1_k8_i66.dzn,22,8,6,SAT,2.1334
2026-02-06 14:33:50,instance_n22_c2_k11_i72.dzn,22,11,8,SAT,9.3954
2026-02-06 14:33:59,instance_n22_c2_k14_i73.dzn,22,14,7,SAT,4.3741
2026-02-06 14:34:04,instance_n22_c2_k17_i74.dzn,22,17,6,SAT,2.5296
2026-02-06 14:34:06,instance_n22_c3_k14_i78.dzn,22,14,N/A,TIMEOUT,300.0000
2026-02-06 14:39:06,instance_n22_c3_k8_i76.dzn,22,8,7,SAT,6.2132
2026-02-06 14:39:13,instance_n26_c0_k11_i82.dzn,26,11,9,SAT,128.0238
2026-02-06 14:41:21,instance_n26_c0_k14_i83.dzn,26,14,7,SAT,9.3980
2026-02-06 14:41:30,instance_n26_c0_k17_i84.dzn,26,17,8,SAT,13.6468
2026-02-06 14:41:44,instance_n26_c0_k8_i81.dzn,26,8,8,SAT,15.2442
2026-02-06 14:41:59,instance_n26_c1_k11_i87.dzn,26,11,8,SAT,13.9603
2026-02-06 14:42:13,instance_n26_c1_k14_i88.dzn,26,14,6,SAT,2.7757
2026-02-06 14:42:16,instance_n26_c1_k17_i89.dzn,26,17,8,SAT,42.1043
2026-02-06 14:42:58,instance_n26_c1_k8_i86.dzn,26,8,7,SAT,8.2961
2026-02-06 14:43:06,instance_n26_c2_k11_i92.dzn,26,11,8,SAT,16.4586
2026-02-06 14:43:22,instance_n26_c2_k14_i93.dzn,26,14,9,SAT,262.8966
2026-02-06 14:47:45,instance_n26_c2_k17_i94.dzn,26,17,8,SAT,71.9919
2026-02-06 14:48:57,instance_n26_c2_k8_i91.dzn,26,8,7,SAT,4.9692
2026-02-06 14:49:02,instance_n26_c3_k11_i97.dzn,26,11,8,SAT,27.6886
2026-02-06 14:49:30,instance_n26_c3_k14_i98.dzn,26,14,8,SAT,12.8848
2026-02-06 14:49:43,instance_n26_c3_k17_i99.dzn,26,17,8,SAT,21.4363
