Timestamp,Instance,Nodes,Max_K,Solved_at_K,Status,Time_Seconds
2026-02-06 14:02:41,instance_n18_c0_k11_i42.dzn,18,11,9,SAT,7.6892
2026-02-06 14:02:49,instance_n18_c0_k14_i43.dzn,18,14,8,SAT,3.5527
2026-02-06 14:02:52,instance_n18_c1_k17_i49.dzn,18,17,7,SAT,2.5972
2026-02-06 14:02:55,instance_n18_c2_k8_i51.dzn,18,8,7,SAT,2.1825
2026-02-06 14:02:57,instance_n18_c3_k17_i59.dzn,18,17,8,SAT,3.5936
2026-02-06 14:03:00,instance_n18_c3_k8_i56.dzn,18,8,7,SAT,2.5712
2026-02-06 14:03:03,instance_n22_c0_k11_i62.dzn,22,11,7,SAT,3.2441
2026-02-06 14:03:06,instance_n22_c0_k14_i63.dzn,22,14,10,SAT,22.7775
2026-02-06 14:03:29,instance_n22_c0_k8_i61.dzn,22,8,7,SAT,3.3428
2026-02-06 14:03:32,instance_n22_c1_k11_i67.dzn,22,11,9,SAT,10.1912
2026-02-06 14:03:43,instance_n22_c1_k14_i68.dzn,22,14,8,SAT,6.3544
2026-02-06 14:03:49,instance_n22_c1_k17_i69.dzn,22,17,6,SAT,2.1325
2026-02-06 14:03:51,instance_n22_c1_k8_i66.dzn,22,8,6,SAT,2.1093
2026-02-06 14:03:53,instance_n22_c2_k11_i72.dzn,22,11,8,SAT,3.5800
2026-02-06 14:03:57,instance_n22_c2_k14_i73.dzn,22,14,7,SAT,2.4356
2026-02-06 14:03:59,instance_n22_c2_k17_i74.dzn,22,17,6,SAT,2.1934
2026-02-06 14:04:01,instance_n22_c3_k14_i78.dzn,22,14,10,SAT,118.1806
2026-02-06 14:06:00,instance_n22_c3_k8_i76.dzn,22,8,7,SAT,2.7018
2026-02-06 14:06:02,instance_n26_c0_k11_i82.dzn,26,11,9,SAT,37.1855
2026-02-06 14:06:40,instance_n26_c0_k14_i83.dzn,26,14,7,SAT,3.2759
2026-02-06 14:06:43,instance_n26_c0_k17_i84.dzn,26,17,8,SAT,4.8793
2026-02-06 14:06:48,instance_n26_c0_k8_i81.dzn,26,8,8,SAT,9.6371
2026-02-06 14:06:57,instance_n26_c1_k11_i87.dzn,26,11,8,SAT,4.6640
2026-02-06 14:07:02,instance_n26_c1_k14_i88.dzn,26,14,6,SAT,2.2530
2026-02-06 14:07:04,instance_n26_c1_k17_i89.dzn,26,17,8,SAT,5.9235
2026-02-06 14:07:10,instance_n26_c1_k8_i86.dzn,26,8,7,SAT,5.2420
2026-02-06 14:07:15,instance_n26_c2_k11_i92.dzn,26,11,8,SAT,6.4129
2026-02-06 14:07:22,instance_n26_c2_k14_i93.dzn,26,14,9,SAT,12.2544
2026-02-06 14:07:34,instance_n26_c2_k17_i94.dzn,26,17,8,SAT,19.1186
2026-02-06 14:07:53,instance_n26_c2_k8_i91.dzn,26,8,7,SAT,2.5456
2026-02-06 14:07:56,instance_n26_c3_k11_i97.dzn,26,11,8,SAT,9.0303
2026-02-06 14:08:05,instance_n26_c3_k14_i98.dzn,26,14,8,SAT,6.3583
2026-02-06 14:08:11,instance_n26_c3_k17_i99.dzn,26,17,8,SAT,8.7305
