Timestamp,Instance,Nodes,Max_K,Solved_at_K,Status,Time_Seconds
2026-02-06 13:26:33,instance_n26_c0_k8_i81.dzn,26,8,N/A,TIMEOUT,300.0000
2026-02-06 13:31:33,instance_n26_c1_k11_i87.dzn,26,11,N/A,TIMEOUT,300.0000
2026-02-06 13:36:33,instance_n26_c1_k14_i88.dzn,26,14,6,SAT,31.9138
2026-02-06 13:37:05,instance_n26_c1_k17_i89.dzn,26,17,N/A,TIMEOUT,300.0000
2026-02-06 13:42:05,instance_n26_c1_k5_i85.dzn,26,5,5,SAT,8.6191
2026-02-06 13:42:14,instance_n26_c1_k8_i86.dzn,26,8,N/A,TIMEOUT,300.0000
2026-02-06 13:47:14,instance_n26_c2_k11_i92.dzn,26,11,N/A,TIMEOUT,300.0000
2026-02-06 13:52:14,instance_n26_c2_k14_i93.dzn,26,14,N/A,TIMEOUT,300.0000
2026-02-06 13:57:14,instance_n26_c2_k17_i94.dzn,26,17,N/A,TIMEOUT,300.0000
2026-02-06 14:02:14,instance_n26_c2_k5_i90.dzn,26,5,5,SAT,7.1547
2026-02-06 14:02:21,instance_n26_c2_k8_i91.dzn,26,8,N/A,TIMEOUT,300.0000
2026-02-06 14:07:21,instance_n26_c3_k11_i97.dzn,26,11,N/A,TIMEOUT,300.0000
2026-02-06 14:12:21,instance_n26_c3_k14_i98.dzn,26,14,N/A,TIMEOUT,300.0000
2026-02-06 14:17:21,instance_n26_c3_k17_i99.dzn,26,17,N/A,TIMEOUT,300.0000
2026-02-06 14:22:21,instance_n26_c3_k5_i95.dzn,26,5,4,SAT,2.2906
2026-02-06 14:22:24,instance_n26_c3_k8_i96.dzn,26,8,N/A,TIMEOUT,300.0000
